phrase_family,split,phrase,proposed_label,sample_type,covered_row_count,covered_row_ids_sha256,ai_suggested_label,ai_suggested_type,ai_confidence,construct_validity,shortcut_flags,notes,ai_review_status
v21_locked_ambiguous_municipality_ledger_marker,public_locked_audit_v2_1,municipality ledger key,ambiguous,ambiguous,4,5b0e566b0ca9c5977838e3a08b7cb6aba113c25a9205d7da0c9d9d67d3f4aba1,,,,,,,pending
v21_locked_ambiguous_protected_registry_reference,public_locked_audit_v2_1,protected subject key,ambiguous,ambiguous,4,02140718488f5c98df159e7adb1400fdac398eaae0459cb9a4c58314e3dbb80d,,,,,,,pending
v21_locked_ambiguous_town_dossier_key,public_locked_audit_v2_1,town dossier entry key,ambiguous,ambiguous,4,b4f128c0e3bae5d1283f655ba03177fb54b60e63eee50d8d291eaae256729c6a,,,,,,,pending
v21_locked_city_borough_planning,public_locked_audit_v2_1,borough planning area cipher,city_code,known,4,e16a534fd356d78d1eb3ea0522dc39fbaab42bd54f3d760b4dc9ab16219b3f51,,,,,,,pending
v21_locked_city_community_territory,public_locked_audit_v2_1,community territory map sign,city_code,known,4,b9b2415cbc8da45bfd6f708c430e94a18193f7a4c6fed9b9d24214f0536ddea4,,,,,,,pending
v21_locked_city_council_boundary,public_locked_audit_v2_1,local council boundary emblem,city_code,known,4,40ef55b7f7ea6dfe66c09a7ee41f955b122b6ad611d4beb007ff1fed11cd950f,,,,,,,pending
v21_locked_city_neighborhood_survey,public_locked_audit_v2_1,neighborhood survey sector code,city_code,known,4,3bda12ad32eabfff6dc181c580bb3a9cb31111be1f922100c190d10ad6827961,,,,,,,pending
v21_locked_city_parish_atlas,public_locked_audit_v2_1,municipal parish atlas marker,city_code,known,4,cc2b06116e21497895f67b7bb9bb06d030155292fa77dd4c3da4c3c1b74b44ac,,,,,,,pending
v21_locked_city_precinct_geography,public_locked_audit_v2_1,urban precinct geographic label,city_code,known,4,660b34702056d0937f576c4cedf29db2041e4016f3f909559ce54cfbf2b4d8f5,,,,,,,pending
v21_locked_city_settlement_cartography,public_locked_audit_v2_1,settlement district cartography reference,city_code,known,4,d1f9794532772ebf8f9b9ecb92e57c4d85207c07c872109d676cd5853191d96c,,,,,,,pending
v21_locked_city_township_zoning,public_locked_audit_v2_1,township zoning chart notation,city_code,known,4,79b63dadd496c9e0ceee22f8d1d19a7b6797f864051959b05e6f3532234e88eb,,,,,,,pending
v21_locked_registry_civil_certificate,public_locked_audit_v2_1,civil certificate archive handle,registry_id,known,4,75ef8429b8b2c998d77842463d0ea4293cc7a319004a8ffbd2649b8a990a1809,,,,,,,pending
v21_locked_registry_corporate_reception,public_locked_audit_v2_1,corporate filing reception reference,registry_id,known,4,41de6360737dcd290b0bf13f5d552aa26ea1e6658e2532ae9645e93789a194c3,,,,,,,pending
v21_locked_registry_heritage_deposit,public_locked_audit_v2_1,heritage archive deposit accession,registry_id,known,4,2376452b705eee986e44b29468c8ada8c07b25703e4f0863e3725d4720ee5a83,,,,,,,pending
v21_locked_registry_judicial_estate,public_locked_audit_v2_1,judicial estate register locator,registry_id,known,4,bf5d9ab1698f2304dba01cbf221e4f065291c677ca753d9058ca42734e940ca8,,,,,,,pending
v21_locked_registry_professional_license,public_locked_audit_v2_1,professional licensing roll entry,registry_id,known,4,af38c7e7a3ac0261dd469c74289b27a55a29b25337af664966297ee2b2e996d9,,,,,,,pending
v21_locked_registry_property_deed,public_locked_audit_v2_1,property deed custody number,registry_id,known,4,285be6b1dd7fcdc0b10834dea8b66afff014d1bad252678657902ce48101a22b,,,,,,,pending
v21_locked_registry_public_trust,public_locked_audit_v2_1,public trust enrolment marker,registry_id,known,4,d7e10cbb613e036b497c30bbbe93bdb88ed84d9a799803e28ca862d71d6bd0b4,,,,,,,pending
v21_locked_registry_voter_subject,public_locked_audit_v2_1,voter register subject index,registry_id,known,4,7901d870be5b2fab5849332364b8b562296861c0e6b39e11e3ce1ed28d0113dc,,,,,,,pending
v21_locked_unrelated_archive_retention,public_locked_audit_v2_1,archive filing retention period,unrelated,unrelated,4,6942907de729d38e2c0850cabc41b97b906d76f7fc06ce8cb1dfedc733a5632e,,,,,,,pending
v21_locked_unrelated_credential_rotation,public_locked_audit_v2_1,device credential rotation interval,unrelated,unrelated,4,c35173d5aa131694cbcd857dd71bc83b666e9c2958e87c3d6c638187b9618e8d,,,,,,,pending
v21_locked_unrelated_inventory_locator_color,public_locked_audit_v2_1,inventory bin locator color,unrelated,unrelated,4,1995d1f518437fae6f8e95bb5efdad5c0cbd1cc7c7c7644d655858089d749f3d,,,,,,,pending
v21_locked_unrelated_login_latency,public_locked_audit_v2_1,municipal website login latency,unrelated,unrelated,4,eb44cff67ced52da601b693fd0190438d78d49c1e76bcfdbc5d051882e4d510c,,,,,,,pending
v21_locked_unrelated_parcel_tracking,public_locked_audit_v2_1,parcel registry tracking status,unrelated,unrelated,4,967daffb236ac8cb268741f2ae47924ba4e78adc1d0cec5797936f345e7c4541,,,,,,,pending
v21_locked_unrelated_purchase_code_expiry,public_locked_audit_v2_1,purchase approval code expiry,unrelated,unrelated,4,5adf7e7c5860b733e36ff822d96063acaa3873a7a9db4cc5c0f1de8f1ebd346e,,,,,,,pending
v21_locked_unrelated_serial_checksum,public_locked_audit_v2_1,account serial checksum algorithm,unrelated,unrelated,4,062e10498e76a386ac159f332cc6b9edee298d8081a9571238d2eb153c39b533,,,,,,,pending
v21_locked_unrelated_zone_font,public_locked_audit_v2_1,geographic zone label font,unrelated,unrelated,4,ce48bf7f675ed63499d4c9ff9bf12ffe5cfbad74c3dd35f6085e9d636d8fe7dd,,,,,,,pending
