phrase_family,split,phrase,proposed_label,sample_type,covered_row_count,covered_row_ids_sha256,ai_suggested_label,ai_suggested_type,ai_confidence,construct_validity,shortcut_flags,notes,ai_review_status
v21_locked_ambiguous_city_filing_identifier,public_locked_audit_v2_1,municipal account key,ambiguous,ambiguous,4,9ea962572575cb41e5e8afec796e0df407eb520b7e70138bbf6f467a47e9b707,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,municipal account key can identify an account record associated with a municipality or unlock the municipal account service,boundary_retained
v21_locked_ambiguous_civic_gateway_code,public_locked_audit_v2_1,civic account code,ambiguous,ambiguous,4,d26379cb9d9de1aa31694db7187cf801c4c5e1fe873e509b2d5e3822a825eade,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,civic account code can identify the civic account record or serve as its access code,boundary_retained
v21_locked_ambiguous_district_roster_serial,public_locked_audit_v2_1,district resident code,ambiguous,ambiguous,4,d2ee7105841605391fa1b315d01d544734e06e0037e07661c9b81b6e1b9cd599,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,district resident code can designate the district or identify a resident in its governed roster,boundary_retained
v21_locked_ambiguous_municipality_ledger_marker,public_locked_audit_v2_1,municipality ledger key,ambiguous,ambiguous,4,5b0e566b0ca9c5977838e3a08b7cb6aba113c25a9205d7da0c9d9d67d3f4aba1,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,municipality ledger key can identify an entry in the municipal ledger or unlock the ledger service,boundary_retained
v21_locked_ambiguous_protected_registry_reference,public_locked_audit_v2_1,protected subject key,ambiguous,ambiguous,4,02140718488f5c98df159e7adb1400fdac398eaae0459cb9a4c58314e3dbb80d,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,protected subject key can identify a subject record or serve as the key granting access to that protected subject resource,boundary_retained
v21_locked_ambiguous_town_dossier_key,public_locked_audit_v2_1,town dossier entry key,ambiguous,ambiguous,4,b4f128c0e3bae5d1283f655ba03177fb54b60e63eee50d8d291eaae256729c6a,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,dossier entry key can be the record key or the credential used for entry while town also supplies geographic scope,boundary_retained
v21_locked_city_borough_planning,public_locked_audit_v2_1,borough planning area cipher,city_code,known,4,e16a534fd356d78d1eb3ea0522dc39fbaab42bd54f3d760b4dc9ab16219b3f51,city_code,known,,passed,,borough planning cipher denotes a local area,passed
v21_locked_city_community_territory,public_locked_audit_v2_1,community territory map sign,city_code,known,4,b9b2415cbc8da45bfd6f708c430e94a18193f7a4c6fed9b9d24214f0536ddea4,city_code,known,,passed,,community territory map sign is geographic,passed
v21_locked_city_council_boundary,public_locked_audit_v2_1,local council boundary emblem,city_code,known,4,40ef55b7f7ea6dfe66c09a7ee41f955b122b6ad611d4beb007ff1fed11cd950f,city_code,known,,passed,,council boundary emblem denotes a local territory,passed
v21_locked_city_neighborhood_survey,public_locked_audit_v2_1,neighborhood survey sector code,city_code,known,4,3bda12ad32eabfff6dc181c580bb3a9cb31111be1f922100c190d10ad6827961,city_code,known,,passed,,neighborhood survey sector code denotes a mapped local area,passed
v21_locked_city_parish_atlas,public_locked_audit_v2_1,municipal parish atlas marker,city_code,known,4,cc2b06116e21497895f67b7bb9bb06d030155292fa77dd4c3da4c3c1b74b44ac,city_code,known,,passed,,parish atlas marker is a municipal geographic designator,passed
v21_locked_city_precinct_geography,public_locked_audit_v2_1,urban precinct geographic label,city_code,known,4,660b34702056d0937f576c4cedf29db2041e4016f3f909559ce54cfbf2b4d8f5,city_code,known,,passed,,precinct geographic label denotes a civic place,passed
v21_locked_city_settlement_cartography,public_locked_audit_v2_1,settlement district cartography reference,city_code,known,4,d1f9794532772ebf8f9b9ecb92e57c4d85207c07c872109d676cd5853191d96c,city_code,known,,passed,,settlement cartography reference denotes a mapped locality,passed
v21_locked_city_township_zoning,public_locked_audit_v2_1,township zoning chart notation,city_code,known,4,79b63dadd496c9e0ceee22f8d1d19a7b6797f864051959b05e6f3532234e88eb,city_code,known,,passed,,township zoning notation denotes civic geography,passed
v21_locked_registry_civil_certificate,public_locked_audit_v2_1,civil certificate archive handle,registry_id,known,4,75ef8429b8b2c998d77842463d0ea4293cc7a319004a8ffbd2649b8a990a1809,registry_id,known,,passed,,certificate archive handle locates a public record,passed
v21_locked_registry_corporate_reception,public_locked_audit_v2_1,corporate filing reception reference,registry_id,known,4,41de6360737dcd290b0bf13f5d552aa26ea1e6658e2532ae9645e93789a194c3,registry_id,known,,passed,,corporate filing reception reference identifies a filed record,passed
v21_locked_registry_heritage_deposit,public_locked_audit_v2_1,heritage archive deposit accession,registry_id,known,4,2376452b705eee986e44b29468c8ada8c07b25703e4f0863e3725d4720ee5a83,registry_id,known,,passed,,heritage deposit accession is an archival record locator,passed
v21_locked_registry_judicial_estate,public_locked_audit_v2_1,judicial estate register locator,registry_id,known,4,bf5d9ab1698f2304dba01cbf221e4f065291c677ca753d9058ca42734e940ca8,registry_id,known,,passed,,judicial estate register locator identifies a governed record,passed
v21_locked_registry_professional_license,public_locked_audit_v2_1,professional licensing roll entry,registry_id,known,4,af38c7e7a3ac0261dd469c74289b27a55a29b25337af664966297ee2b2e996d9,registry_id,known,,passed,,licensing roll entry identifies an enrolled subject,passed
v21_locked_registry_property_deed,public_locked_audit_v2_1,property deed custody number,registry_id,known,4,285be6b1dd7fcdc0b10834dea8b66afff014d1bad252678657902ce48101a22b,registry_id,known,,passed,,deed custody number identifies a filed record,passed
v21_locked_registry_public_trust,public_locked_audit_v2_1,public trust enrolment marker,registry_id,known,4,d7e10cbb613e036b497c30bbbe93bdb88ed84d9a799803e28ca862d71d6bd0b4,registry_id,known,,passed,,trust enrolment marker is a registry locator,passed
v21_locked_registry_voter_subject,public_locked_audit_v2_1,voter register subject index,registry_id,known,4,7901d870be5b2fab5849332364b8b562296861c0e6b39e11e3ce1ed28d0113dc,registry_id,known,,passed,,voter register subject index is an enrolled-subject locator,passed
v21_locked_unrelated_archive_retention,public_locked_audit_v2_1,archive filing retention period,unrelated,unrelated,4,6942907de729d38e2c0850cabc41b97b906d76f7fc06ce8cb1dfedc733a5632e,unrelated,unrelated,,passed_with_boundary,non_target_tail_property,requested value is retention period rather than an archive locator and exposes a period-tail cue,boundary_retained
v21_locked_unrelated_credential_rotation,public_locked_audit_v2_1,device credential rotation interval,unrelated,unrelated,4,c35173d5aa131694cbcd857dd71bc83b666e9c2958e87c3d6c638187b9618e8d,unrelated,unrelated,,passed_with_boundary,non_target_tail_property,requested value is rotation interval rather than a credential and exposes an interval-tail cue,boundary_retained
v21_locked_unrelated_inventory_locator_color,public_locked_audit_v2_1,inventory bin locator color,unrelated,unrelated,4,1995d1f518437fae6f8e95bb5efdad5c0cbd1cc7c7c7644d655858089d749f3d,unrelated,unrelated,,passed_with_boundary,non_target_tail_property,requested value is inventory-bin color rather than a locator and exposes a color-tail cue,boundary_retained
v21_locked_unrelated_login_latency,public_locked_audit_v2_1,municipal website login latency,unrelated,unrelated,4,eb44cff67ced52da601b693fd0190438d78d49c1e76bcfdbc5d051882e4d510c,unrelated,unrelated,,passed_with_boundary,non_target_tail_property,requested value is website latency rather than login credential or city code and exposes a latency-tail cue,boundary_retained
v21_locked_unrelated_parcel_tracking,public_locked_audit_v2_1,parcel registry tracking status,unrelated,unrelated,4,967daffb236ac8cb268741f2ae47924ba4e78adc1d0cec5797936f345e7c4541,unrelated,unrelated,,passed_with_boundary,non_target_tail_property,requested value is tracking status rather than a registry identifier and exposes a status-tail cue,boundary_retained
v21_locked_unrelated_purchase_code_expiry,public_locked_audit_v2_1,purchase approval code expiry,unrelated,unrelated,4,5adf7e7c5860b733e36ff822d96063acaa3873a7a9db4cc5c0f1de8f1ebd346e,unrelated,unrelated,,passed_with_boundary,non_target_tail_property,requested value is expiry rather than an approval code and exposes an expiry-tail cue,boundary_retained
v21_locked_unrelated_serial_checksum,public_locked_audit_v2_1,account serial checksum algorithm,unrelated,unrelated,4,062e10498e76a386ac159f332cc6b9edee298d8081a9571238d2eb153c39b533,unrelated,unrelated,,passed_with_boundary,non_target_tail_property,requested value is checksum algorithm rather than a serial or credential and exposes an algorithm-tail cue,boundary_retained
v21_locked_unrelated_zone_font,public_locked_audit_v2_1,geographic zone label font,unrelated,unrelated,4,ce48bf7f675ed63499d4c9ff9bf12ffe5cfbad74c3dd35f6085e9d636d8fe7dd,unrelated,unrelated,,passed_with_boundary,non_target_tail_property,requested value is label font rather than a geographic code and exposes a font-tail cue,boundary_retained
